                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
syn05m02hfsg                  1.00=    62.00-  1.00=  1.00=        113.00-       57.00-        113.00-
syn05m02h                     1.00=    62.00-  1.00=  1.00=        138.00-       76.00-        138.00-
syn05m02m                     1.00=    62.00-  1.00=  1.00=        170.00-      258.00-        258.00-
syn05m03hfsg                  1.00=    77.00-  1.00=  1.00=        137.00-       65.00-        137.00-
syn05m03h                     1.00=    77.00-  1.00=  1.00=        164.00-       70.00-        164.00-
syn05m03m                     1.00=    77.00-  1.00=  1.00=        251.00-      573.00-        573.00-
syn05m04hfsg                  1.00=    92.00-  1.00=  1.00=        165.00-       75.00-        165.00-
syn05m04h                     1.00=    92.00-  1.00=  1.00=        186.00-       83.00-        186.00-
syn05m04m                     1.00=    92.00-  1.00=  1.00=        278.00-      779.00-        779.00-
syn05m                        1.00=    17.00-  1.00=  1.00=         61.00-       86.00-         86.00-
syn10hfsg                     1.00=    12.00-  1.00=  1.00=         67.00-       38.00-         67.00-
syn10h                        1.00=    12.00-  1.00=  1.00=         49.00-       26.00-         49.00-
syn10m02hfsg                  1.00=    80.00-  1.00=  1.00=        592.00-      285.00-        592.00-
syn10m02h                     1.00=    80.00-  1.00=  1.00=        620.00-      277.00-        620.00-
syn10m02m                     1.00=    80.00-  1.00=  1.00=        886.00-     7209.00-       7209.00-
syn10m03hfsg                  1.00=   106.00-  1.00=  1.00=        829.00-      387.00-        829.00-
syn10m03h                     1.00=   106.00-  1.00=  1.00=        847.00-      429.00-        847.00-
syn10m03m                     1.00=   106.00-  1.00=  1.00=        911.00-    28037.00-      28037.00-
syn10m04hfsg                  1.00=   126.00-  1.00=  1.00=       1214.00-      426.00-       1214.00-
syn10m04h                     1.00=   126.00-  1.00=  1.00=       1181.00-      506.00-       1181.00-
syn10m04m                     1.00=   126.00-  1.00=  1.00=       1428.00-    94138.00-      94138.00-
